date,year,month,day,precipitation_mm,temp_c,humidity_pct
2020-11-26,2020,11,26,8.84,27.66,80.46
2020-11-27,2020,11,27,3.07,27.73,79.67
2020-11-28,2020,11,28,8.3,27.74,77.29
2020-11-29,2020,11,29,7.24,26.63,87.29
2020-11-30,2020,11,30,64.79,26.71,86.56
2020-12-01,2020,12,01,1.66,27.59,82.32
2020-12-02,2020,12,02,6.01,27.74,83.18
2020-12-03,2020,12,03,18.23,26.22,89.03
2020-12-04,2020,12,04,10.31,27.36,82.49
2020-12-05,2020,12,05,11.08,27.14,85.65
2020-12-06,2020,12,06,21.08,27.01,85.78
2020-12-07,2020,12,07,5.48,27.39,83.18
2020-12-08,2020,12,08,3.56,27.74,84.01
2020-12-09,2020,12,09,2.56,27.2,83.83
2020-12-10,2020,12,10,4.16,27.06,84.87
2020-12-11,2020,12,11,12.77,26.74,86.15
2020-12-12,2020,12,12,11.04,26.34,87.33
2020-12-13,2020,12,13,10.5,26.17,86.97
2020-12-14,2020,12,14,1.94,26.56,88.72
2020-12-15,2020,12,15,3.81,26.98,84.62
2020-12-16,2020,12,16,2.61,26.88,85.69
2020-12-17,2020,12,17,9.7,26.75,87.0
2020-12-18,2020,12,18,2.78,26.96,84.04
2020-12-19,2020,12,19,2.4,27.21,81.28
2020-12-20,2020,12,20,2.76,26.93,83.56
2020-12-21,2020,12,21,5.26,26.16,88.0
2020-12-22,2020,12,22,6.9,26.99,83.74
2020-12-23,2020,12,23,2.79,27.67,82.66
2020-12-24,2020,12,24,22.22,27.53,83.81
2020-12-25,2020,12,25,2.96,27.29,82.89
2020-12-26,2020,12,26,1.32,27.29,82.78
2020-12-27,2020,12,27,4.53,26.95,84.89
2020-12-28,2020,12,28,12.83,26.51,86.99
2020-12-29,2020,12,29,10.81,26.39,89.94
2020-12-30,2020,12,30,7.06,26.43,88.18
2020-12-31,2020,12,31,8.57,26.23,87.64
2021-01-01,2021,01,01,6.3,26.88,84.37
2021-01-02,2021,01,02,15.64,26.53,85.82
2021-01-03,2021,01,03,4.13,26.98,82.67
2021-01-04,2021,01,04,3.46,26.81,84.96
2021-01-05,2021,01,05,7.0,26.63,87.18
2021-01-06,2021,01,06,6.48,27.01,88.47
2021-01-07,2021,01,07,13.18,26.85,84.85
2021-01-08,2021,01,08,7.14,26.77,85.28
2021-01-09,2021,01,09,11.69,26.89,86.62
2021-01-10,2021,01,10,7.54,26.63,88.05
2021-01-11,2021,01,11,9.24,26.79,87.48
2021-01-12,2021,01,12,10.11,26.6,88.82
2021-01-13,2021,01,13,6.0,26.34,88.86
2021-01-14,2021,01,14,6.11,26.32,88.2
2021-01-15,2021,01,15,2.8,26.4,88.55
2021-01-16,2021,01,16,3.1,27.31,82.35
2021-01-17,2021,01,17,6.26,26.84,86.29
2021-01-18,2021,01,18,10.06,26.46,88.73
2021-01-19,2021,01,19,17.4,26.21,86.23
2021-01-20,2021,01,20,6.82,26.54,86.74
2021-01-21,2021,01,21,17.15,26.41,88.15
2021-01-22,2021,01,22,10.02,26.61,83.72
2021-01-23,2021,01,23,7.23,26.58,87.71
2021-01-24,2021,01,24,20.86,25.95,90.62
2021-01-25,2021,01,25,8.93,26.66,83.49
2021-01-26,2021,01,26,24.19,26.66,87.09
2021-01-27,2021,01,27,7.79,25.91,90.26
2021-01-28,2021,01,28,23.07,25.7,89.78
2021-01-29,2021,01,29,18.55,26.3,85.29
2021-01-30,2021,01,30,23.83,26.21,87.02
2021-01-31,2021,01,31,18.5,26.39,88.03
2021-02-01,2021,02,01,13.66,26.4,89.52
2021-02-02,2021,02,02,51.32,26.41,90.33
2021-02-03,2021,02,03,52.49,26.09,91.22
2021-02-04,2021,02,04,15.45,26.43,89.18
2021-02-05,2021,02,05,22.27,26.65,87.13
2021-02-06,2021,02,06,34.36,26.98,88.04
2021-02-07,2021,02,07,49.89,26.89,89.5
2021-02-08,2021,02,08,27.3,26.84,89.23
2021-02-09,2021,02,09,45.6,26.68,90.97
2021-02-10,2021,02,10,12.34,26.97,88.13
2021-02-11,2021,02,11,1.98,27.3,86.8
2021-02-12,2021,02,12,7.8,26.42,89.0
2021-02-13,2021,02,13,7.04,26.61,88.55
2021-02-14,2021,02,14,8.63,26.58,89.48
2021-02-15,2021,02,15,104.93,26.46,90.39
2021-02-16,2021,02,16,20.56,26.45,89.76
2021-02-17,2021,02,17,18.22,26.3,88.18
2021-02-18,2021,02,18,17.6,26.37,86.29
2021-02-19,2021,02,19,71.22,25.88,89.82
2021-02-20,2021,02,20,20.33,26.23,88.15
2021-02-21,2021,02,21,7.55,26.56,86.95
2021-02-22,2021,02,22,8.0,26.74,87.36
2021-02-23,2021,02,23,10.14,26.9,86.44
2021-02-24,2021,02,24,13.55,26.56,87.21
2021-02-25,2021,02,25,14.34,26.72,87.4
2021-02-26,2021,02,26,22.77,26.8,89.99
2021-02-27,2021,02,27,7.51,27.25,84.6
2021-02-28,2021,02,28,8.38,27.33,84.55
2021-03-01,2021,03,01,7.42,27.33,82.78
2021-03-02,2021,03,02,18.09,26.89,86.24
2021-03-03,2021,03,03,12.0,26.68,86.03
2021-03-04,2021,03,04,16.04,27.15,82.98
2021-03-05,2021,03,05,9.12,27.48,82.71
2021-03-06,2021,03,06,15.64,27.09,86.72
2021-03-07,2021,03,07,14.44,26.5,88.09
2021-03-08,2021,03,08,10.47,26.1,88.08
2021-03-09,2021,03,09,9.99,26.29,87.52
2021-03-10,2021,03,10,17.04,26.36,88.5
2021-03-11,2021,03,11,17.42,26.27,88.12
2021-03-12,2021,03,12,24.55,26.96,84.11
2021-03-13,2021,03,13,37.51,26.72,85.4
2021-03-14,2021,03,14,75.08,26.62,86.83
2021-03-15,2021,03,15,22.56,26.56,83.26
2021-03-16,2021,03,16,16.73,27.07,82.36
2021-03-17,2021,03,17,8.07,27.68,77.9
2021-03-18,2021,03,18,4.58,27.61,80.89
2021-03-19,2021,03,19,6.03,27.39,82.99
2021-03-20,2021,03,20,2.62,27.5,82.76
2021-03-21,2021,03,21,2.12,27.62,84.44
2021-03-22,2021,03,22,3.64,27.14,85.95
2021-03-23,2021,03,23,4.07,27.44,84.05
2021-03-24,2021,03,24,3.38,27.43,83.1
2021-03-25,2021,03,25,7.46,27.06,87.95
2021-03-26,2021,03,26,4.09,27.57,81.85
2021-03-27,2021,03,27,18.25,26.95,88.92
2021-03-28,2021,03,28,7.98,27.77,83.98
2021-03-29,2021,03,29,5.37,27.29,86.98
2021-03-30,2021,03,30,5.13,27.43,85.61
2021-03-31,2021,03,31,6.62,27.75,84.62
2021-04-01,2021,04,01,12.77,26.76,89.15
2021-04-02,2021,04,02,4.74,27.43,83.67
2021-04-03,2021,04,03,12.62,26.93,86.23
2021-04-04,2021,04,04,4.24,27.3,83.31
2021-04-05,2021,04,05,6.4,27.24,83.72
2021-04-06,2021,04,06,11.21,26.96,87.43
2021-04-07,2021,04,07,2.32,26.97,84.11
